DQN Training Log
Episode 88, Reward: -78.00, Loss: 0.0000, Epsilon: 0.643
Episode 89, Reward: -92.00, Loss: 0.0000, Epsilon: 0.640
Episode 90, Reward: -94.00, Loss: 0.0000, Epsilon: 0.637
Episode 91, Reward: -187.00, Loss: 0.0000, Epsilon: 0.634
Episode 92, Reward: -146.00, Loss: 0.3157, Epsilon: 0.631
Episode 93, Reward: -278.00, Loss: 0.0011, Epsilon: 0.627
Episode 94, Reward: -165.00, Loss: 0.0001, Epsilon: 0.624
Episode 95, Reward: -97.00, Loss: 0.0000, Epsilon: 0.621
Episode 96, Reward: -66.00, Loss: 0.0000, Epsilon: 0.618
Episode 97, Reward: -107.00, Loss: 0.0000, Epsilon: 0.615
Episode 98, Reward: -116.00, Loss: 0.0000, Epsilon: 0.612
Episode 99, Reward: -97.00, Loss: 0.0000, Epsilon: 0.609
Episode 100, Reward: -69.00, Loss: 0.0000, Epsilon: 0.606
Episode 101, Reward: -61.00, Loss: 0.0000, Epsilon: 0.603
Episode 102, Reward: -61.00, Loss: 0.6050, Epsilon: 0.600
Episode 103, Reward: -60.00, Loss: 0.0378, Epsilon: 0.597
Episode 104, Reward: -107.00, Loss: 0.0031, Epsilon: 0.594
Episode 105, Reward: -88.00, Loss: 0.0006, Epsilon: 0.591
Episode 106, Reward: -27.00, Loss: 0.0002, Epsilon: 0.588
Episode 107, Reward: -91.00, Loss: 0.0001, Epsilon: 0.585
Episode 108, Reward: -57.00, Loss: 0.0000, Epsilon: 0.582
Episode 109, Reward: -172.00, Loss: 0.0000, Epsilon: 0.579
Episode 110, Reward: -24.00, Loss: 0.0000, Epsilon: 0.576
Episode 111, Reward: -67.00, Loss: 0.0000, Epsilon: 0.573
Episode 112, Reward: -72.00, Loss: 0.3408, Epsilon: 0.570
Episode 113, Reward: -56.00, Loss: 0.0209, Epsilon: 0.568
Episode 114, Reward: -134.00, Loss: 0.0054, Epsilon: 0.565
Episode 115, Reward: -122.00, Loss: 0.0015, Epsilon: 0.562
Episode 116, Reward: -127.00, Loss: 0.0004, Epsilon: 0.559
Episode 117, Reward: -47.00, Loss: 0.0001, Epsilon: 0.556
Episode 118, Reward: -96.00, Loss: 0.0000, Epsilon: 0.554
Episode 119, Reward: -30.00, Loss: 0.0000, Epsilon: 0.551
Episode 120, Reward: -51.00, Loss: 0.0000, Epsilon: 0.548
Episode 121, Reward: -76.00, Loss: 0.0000, Epsilon: 0.545
Episode 122, Reward: -18.00, Loss: 0.3982, Epsilon: 0.543
